file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
Darangen.md,Darangen,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1352
Diné Bahaneʼ：纳瓦霍创世故事.md,Diné Bahaneʼ：纳瓦霍创世故事,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1354
Kumulipo.md,Kumulipo,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1358
Ozidi Saga.md,Ozidi Saga,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1363
云使.md,云使,迦梨陀娑,T0,,CANON-227,约4—5世纪,T0,PASS,HIGH,CANON-227 首次成书_出版时间=约4—5世纪,手工核验,WL-WORK-3176
今昔物语集.md,今昔物语集,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1398
以诺一书.md,以诺一书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1399
伊利亚特.md,伊利亚特,荷马,T0,,CANON-002,约前8世纪,T0,PASS,HIGH,CANON-002 首次成书_出版时间=约前8世纪,自动通过,WL-WORK-0581
伊南娜下降冥界.md,伊南娜下降冥界,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1401
伊南娜与杜穆兹.md,伊南娜与杜穆兹,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1402
会饮篇.md,会饮篇,柏拉图,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2017
但以理书.md,但以理书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1404
俄狄浦斯王.md,俄狄浦斯王,索福克勒斯,T0,,CANON-005,约前429,T0,PASS,HIGH,CANON-005 首次成书_出版时间=约前429,自动通过,WL-WORK-1408
俄瑞斯忒亚.md,俄瑞斯忒亚,埃斯库罗斯,T0,,CANON-004,前458,T0,PASS,HIGH,CANON-004 首次成书_出版时间=前458,需复核,WL-WORK-2809
凯雷特史诗.md,凯雷特史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1413
出埃及记.md,出埃及记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1414
创世记.md,创世记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1004
卡卡温罗摩衍那.md,卡卡温罗摩衍那,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1420
变形记.md,变形记,奥维德,T0,,CANON-009,约8,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1423
史记.md,史记,司马迁,T0,,CANON-028,约前91,T0,PASS,HIGH,CANON-028 首次成书_出版时间=约前91,自动通过,WL-WORK-1017
史记·刺客列传.md,史记·刺客列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2474
史记·游侠列传.md,史记·游侠列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2475
