n,file,title,author,current_t
1,A General History of the Pyrates.md,A General History of the Pyrates,查尔斯·约翰逊船长,T2
2,A New Voyage Round the World.md,A New Voyage Round the World,威廉·丹皮尔,T2
3,Anton Reiser.md,Anton Reiser,卡尔·菲利普·莫里茨,T2
4,Captain Singleton.md,Captain Singleton,丹尼尔·笛福,T2
5,Harvest Home.md,Harvest Home,托马斯·特赖恩,T2
6,Kogan Pyo.md,Kogan Pyo,Shin Maha Ratthasara,T2
7,Kumulipo.md,Kumulipo,佚名,T2
8,"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md","Letters Written during a Short Residence in Sweden, Norway, and Denmark",玛丽·沃斯通克拉夫特,T2
9,Moll Flanders.md,Moll Flanders,丹尼尔·笛福,T2
10,Naufragios.md,Naufragios,卡贝萨·德·巴卡,T2
11,The Adventures of Col. Daniel Boone.md,The Adventures of Col. Daniel Boone,约翰·菲尔森,T2
12,The Principal Navigations.md,The Principal Navigations...,理查德·哈克卢特,T2
13,Travels through France and Italy.md,Travels through France and Italy,斯摩莱特,T2
14,七日谈.md,七日谈,玛格丽特·德·纳瓦尔,T2
15,三国演义.md,三国演义,罗贯中,T2
16,两扇门的房子不好守.md,两扇门的房子不好守,卡尔德隆,T2
17,乌多尔弗的秘密.md,乌多尔弗的秘密,安·拉德克利夫,T2
18,乌托邦.md,乌托邦,托马斯·莫尔,T2
19,九云梦.md,九云梦,金万重,T2
20,人物志.md,人物志,让·德·拉布吕耶尔,T2
21,人生如梦.md,人生如梦,佩德罗·卡尔德隆·德·拉·巴尔卡,T2
22,仙后.md,仙后,埃德蒙·斯宾塞,T2
23,仲夏夜之梦.md,仲夏夜之梦,莎士比亚,T2
24,伪君子.md,伪君子,莫里哀,T2
25,保尔和维吉妮.md,保尔和维吉妮,雅克-亨利·贝尔纳丹·德·圣皮埃尔,T2
26,儒林外史.md,儒林外史,吴敬梓,T2
27,克拉丽莎.md,克拉丽莎,塞缪尔·理查逊,T2
28,克莱芙王妃.md,克莱芙王妃,拉法耶特夫人,T2
29,卡拉贾奥兰诗歌.md,卡拉贾奥兰诗歌,卡拉贾奥兰,T2
30,卢济塔尼亚人之歌.md,卢济塔尼亚人之歌,路易斯·德·卡蒙斯,T2
31,印卡王室述评.md,印卡王室述评,印加·加尔西拉索·德拉维加,T2
32,危险关系.md,危险关系,拉克洛,T2
33,厌世者.md,厌世者,莫里哀,T2
34,古鲁·格兰特·萨希卜.md,古鲁·格兰特·萨希卜,多人,T2
35,可怜的丽莎.md,可怜的丽莎,尼古拉·卡拉姆津,T2
36,后水浒传.md,后水浒传,陈忱,T2
37,君主论.md,君主论,尼科洛·马基雅维利,T2
38,哈姆雷特.md,哈姆雷特,威廉·莎士比亚,T2
39,哲学通信.md,哲学通信,伏尔泰,T2
40,嘉尔西拉索诗集.md,嘉尔西拉索诗集,嘉尔西拉索·德·拉·维加,T2
41,园丁之犬.md,园丁之犬,洛佩·德·维加,T2
42,圣殿.md,圣殿,乔治·赫伯特,T2
43,堂吉诃德.md,堂吉诃德,塞万提斯,T2
44,塞维利亚理发师.md,塞维利亚理发师,博马舍,T2
45,塞莱斯蒂娜.md,塞莱斯蒂娜,费尔南多·德·罗哈斯,T2
46,太阳传说.md,太阳传说,佚名,T2
47,失乐园（弥尔顿）.md,失乐园,约翰·弥尔顿,T2
48,奇兰巴兰书.md,奇兰巴兰书,佚名,T2
49,奥之细道.md,奥之细道,松尾芭蕉,T2
50,奥赛罗.md,奥赛罗,威廉·莎士比亚,T2
51,好色一代男.md,好色一代男,井原西鹤,T2
52,威克菲尔德的牧师.md,威克菲尔德的牧师,奥利弗·哥尔德斯密斯,T2
53,威廉·迈斯特的学习时代.md,威廉·迈斯特的学习时代,歌德,T2
54,孤独集.md,孤独集,路易斯·德·贡戈拉,T2
55,安德洛玛刻.md,安德洛玛刻,让·拉辛,T2
56,宿命论者雅克.md,宿命论者雅克,德尼·狄德罗,T2
57,宿命论者雅克和他的主人.md,宿命论者雅克和他的主人,德尼·狄德罗,T2
