file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
Cligès.md,Cligès,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2185
Darangen.md,Darangen,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1352
Erec et Enide.md,Erec et Enide,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2219
Erec.md,Erec,哈特曼·冯·奥埃,T1,1185,,,T1,PASS,HIGH,note.year=1185,自动通过,WL-WORK-2218
Iwein.md,Iwein,哈特曼·冯·奥埃,T1,1200,,,T1,PASS,HIGH,note.year=1200,自动通过,WL-WORK-2250
"Lancelot, the Knight of the Cart.md","Lancelot, the Knight of the Cart",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2266
Lancelot.md,Lancelot,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2264
Morgante.md,Morgante,路易吉·普尔奇,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2287
"Perceval, the Story of the Grail.md","Perceval, the Story of the Grail",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2304
Perceval.md,Perceval,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2303
Roman de Brut.md,Roman de Brut,瓦斯,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2330
Safarnama ／ 旅行记.md,Safarnama / 旅行记,纳赛尔·霍斯陆,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1370
The Book of Deeds of Arms and of Chivalry.md,The Book of Deeds of Arms and of Chivalry,克里斯蒂娜·德·皮桑,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2364
The Book of the Order of Chivalry.md,The Book of the Order of Chivalry,拉蒙·柳利,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2366
Tirant lo Blanc.md,Tirant lo Blanc,若阿诺特·马托雷尔,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2422
Willehalm.md,Willehalm,沃尔夫拉姆·冯·埃申巴赫,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2430
"Yvain, the Knight of the Lion.md","Yvain, the Knight of the Lion",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2435
Yvain.md,Yvain,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2434
一千零一夜.md,一千零一夜,佚名,T1,,CANON-015,约8—14世纪形成,T1,PASS,HIGH,CANON-015 首次成书_出版时间=约8—14世纪形成,自动通过,WL-WORK-0558
万叶集.md,万叶集,多人,T1,,CANON-234,约7—8世纪,T1,PASS,HIGH,CANON-234 首次成书_出版时间=约7—8世纪,需复核,WL-WORK-3179
三国遗事.md,三国遗事,一然,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1391
今昔物语集.md,今昔物语集,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1398
伊万.md,伊万,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1400
伊本·白图泰游记.md,伊本·白图泰游记,伊本·白图泰,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-RIHLA
佩尔西瓦尔.md,佩尔西瓦尔,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1407
兰斯洛特.md,兰斯洛特,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1412
兰斯洛特：大车骑士.md,兰斯洛特：大车骑士,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2022
列王纪.md,列王纪,菲尔多西,T1,,CANON-014,约1010,T1,PASS,HIGH,CANON-014 首次成书_出版时间=约1010,自动通过,WL-WORK-1416
前赤壁赋.md,前赤壁赋,苏轼,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1418
