file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
Bevis of Hampton.md,Bevis of Hampton,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2170,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Cligès.md,Cligès,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2185,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Curial e Güelfa.md,Curial e Güelfa,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2194,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Darangen.md,Darangen,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1352,REVIEW,,MEDIUM,口传史诗传统年代缺少足够精确的文本定型依据；“古老”不能直接等同T0
Erec et Enide.md,Erec et Enide,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2219,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Erec.md,Erec,哈特曼·冯·奥埃,T1,1185,,,T1,PASS,HIGH,note.year=1185,自动通过,WL-WORK-2218,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Estoire del Saint Graal.md,Estoire del Saint Graal,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2220,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Guy of Warwick.md,Guy of Warwick,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2237,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Iwein.md,Iwein,哈特曼·冯·奥埃,T1,1200,,,T1,PASS,HIGH,note.year=1200,自动通过,WL-WORK-2250,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Joseph d'Arimathie.md,Joseph d'Arimathie,罗贝尔·德·博龙,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2253,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Lancelot propre.md,Lancelot propre,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2265,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Lancelot, the Knight of the Cart.md","Lancelot, the Knight of the Cart",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2266,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Lancelot.md,Lancelot,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2264,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Libro del caballero Zifar.md,Libro del caballero Zifar,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2272,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Merlin.md,Merlin,T.H.怀特,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2282,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Morgante.md,Morgante,路易吉·普尔奇,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2287,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Mort Artu.md,Mort Artu,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2288,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Palmerín de Inglaterra.md,Palmerín de Inglaterra,弗朗西斯科·德·莫拉埃斯,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2298,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Palmerín de Oliva.md,Palmerín de Oliva,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2299,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Parzival.md,Parzival,沃尔夫拉姆·冯·埃申巴赫,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2301,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Perceval, the Story of the Grail.md","Perceval, the Story of the Grail",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2304,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Perceval.md,Perceval,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2303,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Perlesvaus ／ The High Book of the Grail.md,Perlesvaus / The High Book of the Grail,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2306,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Prose Tristan.md,Prose Tristan,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2310,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Queste del Saint Graal.md,Queste del Saint Graal,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2311,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Roman de Brut.md,Roman de Brut,瓦斯,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2330,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Safarnama ／ 旅行记.md,Safarnama / 旅行记,纳赛尔·霍斯陆,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1370,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Sir Launfal.md,Sir Launfal,托马斯·切斯特,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2341,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Sir Orfeo.md,Sir Orfeo,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2342,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Stanzaic Morte Arthur.md,Stanzaic Morte Arthur,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2346,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
The Alliterative Morte Arthure.md,The Alliterative Morte Arthure,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2358,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
The Book of Deeds of Arms and of Chivalry.md,The Book of Deeds of Arms and of Chivalry,克里斯蒂娜·德·皮桑,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2364,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
The Book of the Order of Chivalry.md,The Book of the Order of Chivalry,拉蒙·柳利,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2366,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Tirant lo Blanc.md,Tirant lo Blanc,若阿诺特·马托雷尔,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2422,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Willehalm.md,Willehalm,沃尔夫拉姆·冯·埃申巴赫,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2430,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Yvain, the Knight of the Lion.md","Yvain, the Knight of the Lion",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2435,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Yvain.md,Yvain,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2434,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
一千零一夜.md,一千零一夜,佚名,T1,,CANON-015,约8—14世纪形成,T1,PASS,HIGH,CANON-015 首次成书_出版时间=约8—14世纪形成,自动通过,WL-WORK-0558,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
万叶集.md,万叶集,多人,T1,,CANON-234,约7—8世纪,T1,PASS,HIGH,CANON-234 首次成书_出版时间=约7—8世纪,需复核,WL-WORK-3179,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
三国遗事.md,三国遗事,一然,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1391,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
