file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
1984.md,1984,乔治·奥威尔,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0488
2001：太空漫游.md,2001：太空漫游,阿瑟·克拉克,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0309
A Man Called Horse.md,A Man Called Horse,多萝西·M.约翰逊,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2156
A Rumor of War.md,A Rumor of War,菲利普·卡普托,1977,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1937
A Time of Gifts.md,A Time of Gifts,帕特里克·利·弗莫尔,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1344
America Is in the Heart.md,America Is in the Heart,卡洛斯·布洛桑,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0914
An Area of Darkness.md,An Area of Darkness,V.S.奈保尔,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1348
Arabella.md,Arabella,乔吉特·海耶,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1940
Arabian Sands.md,Arabian Sands,威尔弗雷德·塞西格,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1349
Auschwitz and After.md,Auschwitz and After,夏洛特·德尔博,1971,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1941
Bandits.md,Bandits,艾瑞克·霍布斯鲍姆,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2165
"Bless Me, Ultima.md","Bless Me, Ultima",鲁道夫·阿纳亚,1972,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-2174
Buffalo Wagons.md,Buffalo Wagons,埃尔默·凯尔顿,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2177
Burnt Offerings.md,Burnt Offerings,罗伯特·马拉斯科,1973,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-0494
Butcher's Crossing.md,Butcher's Crossing,约翰·威廉斯,1960,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-2179
Ceremony.md,Ceremony,莱斯利·马蒙·西尔科,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0918
Chemmeen.md,Chemmeen,Thakazhi Sivasankara Pillai,1956,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,手工核验,WL-WORK-R3-18224226
Cotillion.md,Cotillion,乔吉特·海耶,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1951
"Crick Crack, Monkey.md","Crick Crack, Monkey",默尔·霍奇,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1528
Dance Hall of the Dead.md,Dance Hall of the Dead,托尼·希勒曼,1973,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-2195
Desert Solitaire.md,Desert Solitaire,爱德华·艾比,1968,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-2199
Dispatches.md,Dispatches,迈克尔·赫尔,1977,T5,T5 二战后多极文学,T5,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1956
El escritor argentino y la tradición.md,El escritor argentino y la tradición,博尔赫斯,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2203
