file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
A General History of the Pyrates.md,A General History of the Pyrates,查尔斯·约翰逊船长,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2152
A New Voyage Round the World.md,A New Voyage Round the World,威廉·丹皮尔,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0490
Anton Reiser.md,Anton Reiser,卡尔·菲利普·莫里茨,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0915
Captain Singleton.md,Captain Singleton,丹尼尔·笛福,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2182
Harvest Home.md,Harvest Home,托马斯·特赖恩,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0502
Kumulipo.md,Kumulipo,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1358
"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md","Letters Written during a Short Residence in Sweden, Norway, and Denmark",玛丽·沃斯通克拉夫特,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1360
Moll Flanders.md,Moll Flanders,丹尼尔·笛福,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2285
Naufragios.md,Naufragios,卡贝萨·德·巴卡,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0515
The Adventures of Col. Daniel Boone.md,The Adventures of Col. Daniel Boone,约翰·菲尔森,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2355
The Principal Navigations.md,The Principal Navigations...,理查德·哈克卢特,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1379
Travels through France and Italy.md,Travels through France and Italy,斯摩莱特,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1386
三国演义.md,三国演义,罗贯中,T2,,CANON-030,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-030 首次成书_出版时间=14世纪,手工核验,WL-WORK-0965
两扇门的房子不好守.md,两扇门的房子不好守,卡尔德隆,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2442
乌多尔弗的秘密.md,乌多尔弗的秘密,安·拉德克利夫,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0570
乌托邦.md,乌托邦,托马斯·莫尔,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0257
九云梦.md,九云梦,金万重,T2,,CANON-060,约1687,T2,PASS,HIGH,CANON-060 首次成书_出版时间=约1687,需复核,WL-WORK-2820
仲夏夜之梦.md,仲夏夜之梦,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2010
伪君子.md,伪君子,莫里哀,T2,1664,CANON-076,1664,T2,PASS,HIGH,note.year=1664,手工核验,WL-WORK-2830
儒林外史.md,儒林外史,吴敬梓,T2,,CANON-036,约1750,T2,PASS,HIGH,CANON-036 首次成书_出版时间=约1750,手工核验,WL-WORK-2815
克拉丽莎.md,克拉丽莎,塞缪尔·理查逊,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2020
克莱芙王妃.md,克莱芙王妃,拉法耶特夫人,T2,,CANON-079,1678,T2,PASS,HIGH,CANON-079 首次成书_出版时间=1678,自动通过,WL-WORK-0995
卡拉贾奥兰诗歌.md,卡拉贾奥兰诗歌,卡拉贾奥兰,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-KARACAOGLAN
卢济塔尼亚人之歌.md,卢济塔尼亚人之歌,路易斯·德·卡蒙斯,T2,,CANON-218,1572,T2,PASS,HIGH,CANON-218 首次成书_出版时间=1572,需复核,WL-WORK-3168
印卡王室述评.md,印卡王室述评,印加·加尔西拉索·德拉维加,T2,1609,,,T2,PASS,HIGH,note.year=1609,手工核验,WL-WORK-1606
危险关系.md,危险关系,拉克洛,T2,,CANON-085,1782,T2,PASS,HIGH,CANON-085 首次成书_出版时间=1782,自动通过,WL-WORK-2031
厌世者.md,厌世者,莫里哀,T2,,CANON-077,1666,T2,PASS,HIGH,CANON-077 首次成书_出版时间=1666,需复核,WL-WORK-2831
古鲁·格兰特·萨希卜.md,古鲁·格兰特·萨希卜,多人,T2,1604,,,T2,PASS,HIGH,note.year=1604,手工核验,WL-WORK-R3-62607531
后水浒传.md,后水浒传,陈忱,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2478
哈姆雷特.md,哈姆雷特,威廉·莎士比亚,T2,1600,CANON-069,约1600—1601,T2,PASS,HIGH,note.year=1600,手工核验,WL-WORK-2825
园丁之犬.md,园丁之犬,洛佩·德·维加,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2483
堂吉诃德.md,堂吉诃德,塞万提斯,T2,1605,CANON-068,1605/1615,T2,PASS,HIGH,note.year=1605,手工核验,WL-WORK-1042
太阳传说.md,太阳传说,佚名,T2,1558,,,T2,PASS,HIGH,note.year=1558,自动通过,WL-WORK-1436
失乐园（弥尔顿）.md,失乐园,约翰·弥尔顿,T2,1667,CANON-075,1667,T2,PASS,HIGH,note.year=1667,手工核验,WL-WORK-T2-PARADISE-LOST
奇兰巴兰书.md,奇兰巴兰书,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1438
奥之细道.md,奥之细道,松尾芭蕉,T2,1702,CANON-050,1702,T2,PASS,HIGH,note.year=1702,手工核验,WL-WORK-1440
奥赛罗.md,奥赛罗,威廉·莎士比亚,T2,,CANON-072,约1603—1604,T2,PASS,HIGH,CANON-072 首次成书_出版时间=约1603—1604,需复核,WL-WORK-2828
好色一代男.md,好色一代男,井原西鹤,T2,1682,,,T2,PASS,HIGH,note.year=1682,手工核验,WL-WORK-T2-KOSHOKU-ICHIDAI-OTOKO
威廉·迈斯特的学习时代.md,威廉·迈斯特的学习时代,歌德,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1061
宿命论者雅克和他的主人.md,宿命论者雅克和他的主人,德尼·狄德罗,T2,,CANON-200,1796,T2,PASS,HIGH,CANON-200 首次成书_出版时间=1796,需复核,WL-WORK-3156
少年维特的烦恼.md,少年维特的烦恼,歌德,T2,,CANON-086,1774,T2,PASS,HIGH,CANON-086 首次成书_出版时间=1774,自动通过,WL-WORK-2055
巨人传.md,巨人传,弗朗索瓦·拉伯雷,T2,,CANON-212,1532—1564,T2,PASS,HIGH,CANON-212 首次成书_出版时间=1532—1564,需复核,WL-WORK-3164
巴基诗集.md,巴基诗集,巴基,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-BAKI-DIVAN
巴布尔回忆录.md,巴布尔回忆录,巴布尔,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T2-BABURNAMA
希尔·兰贾.md,希尔·兰贾,瓦里斯·沙阿,T2,1766,,,T2,PASS,HIGH,note.year=1766,手工核验,WL-WORK-R3-94628411
帕梅拉.md,帕梅拉,塞缪尔·理查逊,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2061
幽灵小姐.md,幽灵小姐,卡尔德隆,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2515
征服新西班牙信史.md,征服新西班牙信史,贝尔纳尔·迪亚斯·德尔·卡斯蒂略,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1697
微型巨人.md,微型巨人,伏尔泰,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0261
意大利人.md,意大利人,安·拉德克利夫,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0697
感伤旅行.md,感伤旅行,劳伦斯·斯特恩,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1462
拉玛坚.md,拉玛坚,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1465
新大西岛.md,新大西岛,弗朗西斯·培根,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0258
新爱洛伊丝.md,新爱洛伊丝,卢梭,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2077
旅行书（埃夫利亚·切莱比）.md,旅行书,埃夫利亚·切莱比,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T2-SEYAHATNAME
春香传.md,春香传,佚名,T2,,CANON-059,约18—19世纪,T3,MOVE_CANDIDATE,HIGH,CANON-059 首次成书_出版时间=约18—19世纪,需复核,WL-WORK-2819
暴风雨.md,暴风雨,威廉·莎士比亚,T2,,CANON-074,约1611,T2,PASS,HIGH,CANON-074 首次成书_出版时间=约1611,需复核,WL-WORK-2829
曾根崎心中.md,曾根崎心中,近松门左卫门,T2,1703,,,T2,PASS,HIGH,note.year=1703,手工核验,WL-WORK-T2-SONEZAKI
李尔王.md,李尔王,威廉·莎士比亚,T2,,CANON-071,约1605—1606,T2,PASS,HIGH,CANON-071 首次成书_出版时间=约1605—1606,需复核,WL-WORK-2827
杨家将.md,杨家将,熊大木,T2,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2733
林孔内特与科尔塔迪略.md,林孔内特与科尔塔迪略,塞万提斯,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2547
格列佛游记.md,格列佛游记,乔纳森·斯威夫特,T2,1726,CANON-081,1726,T2,PASS,HIGH,note.year=1726,手工核验,WL-WORK-0260
桃花扇.md,桃花扇,孔尚任,T2,,CANON-038,1699,T2,PASS,HIGH,CANON-038 首次成书_出版时间=1699,需复核,WL-WORK-2816
水浒传.md,水浒传,施耐庵,T2,,CANON-031,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-031 首次成书_出版时间=14世纪,手工核验,WL-WORK-1175
水浒后传.md,水浒后传,陈忱,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2563
汤姆·琼斯.md,汤姆·琼斯,亨利·菲尔丁,T2,,CANON-082,1749,T2,PASS,HIGH,CANON-082 首次成书_出版时间=1749,自动通过,WL-WORK-1178
波波尔·乌.md,波波尔·乌,佚名,T2,,CANON-285,约16世纪记录,T2,PASS,HIGH,CANON-285 首次成书_出版时间=约16世纪记录,手工核验,WL-WORK-1481
浮生六记.md,浮生六记,沈复,T2,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2688
炽焰世界.md,炽焰世界,玛格丽特·卡文迪许,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0259
爱弥儿.md,爱弥儿,卢梭,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1207
牡丹亭.md,牡丹亭,汤显祖,T2,,CANON-034,1598,T2,PASS,HIGH,CANON-034 首次成书_出版时间=1598,手工核验,WL-WORK-2097
穿绿裤子的唐·希尔.md,穿绿裤子的唐·希尔,蒂尔索·德·莫利纳,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2587
第一梦（索尔·胡安娜）.md,第一梦,索尔·胡安娜·伊内斯·德拉克鲁斯,T2,1692,,,T2,PASS,HIGH,note.year=1692,手工核验,WL-WORK-T2-PRIMERO-SUENO
第十二夜.md,第十二夜,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2112
等待的岁月.md,等待的岁月,圆地文子,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1242
红楼梦.md,红楼梦,曹雪芹,T2,,CANON-037,18世纪中叶,T2,PASS,HIGH,CANON-037 首次成书_出版时间=18世纪中叶,手工核验,WL-WORK-1252
罗密欧与朱丽叶.md,罗密欧与朱丽叶,莎士比亚,T2,,CANON-073,约1595,T2,PASS,HIGH,CANON-073 首次成书_出版时间=约1595,自动通过,WL-WORK-2119
罗摩功行录.md,罗摩功行录,杜勒西达斯,T2,1574,,,T2,PASS,HIGH,note.year=1574,手工核验,WL-WORK-T2-RAMCHARITMANAS
老实人.md,老实人,伏尔泰,T2,1759,CANON-083,1759,T2,PASS,HIGH,note.year=1759,手工核验,WL-WORK-2122
聊斋志异.md,聊斋志异,蒲松龄,T2,,CANON-035,约1679—1707,T2,PASS,HIGH,CANON-035 首次成书_出版时间=约1679—1707,手工核验,WL-WORK-0816
聪明的恋人.md,聪明的恋人,洛佩·德·维加,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2604
莎士比亚十四行诗.md,莎士比亚十四行诗,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2126
莱拉与马吉农（福祖里）.md,莱拉与马吉农（福祖里）,福祖里,T2,1536,,,T2,PASS,HIGH,note.year=1536,手工核验,WL-WORK-R1-FUZULI-LAYLA-MAJNUN
蒙田随笔.md,蒙田随笔,米歇尔·德·蒙田,T2,,CANON-209,1580—1588,T2,PASS,HIGH,CANON-209 首次成书_出版时间=1580—1588,需复核,WL-WORK-3161
西游记.md,西游记,吴承恩,T2,,CANON-032,16世纪,T2,PASS,HIGH,CANON-032 首次成书_出版时间=16世纪,手工核验,WL-WORK-0838
解放了的耶路撒冷.md,解放了的耶路撒冷,托尔夸托·塔索,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2618
费德尔.md,费德尔,让·拉辛,T2,,CANON-078,1677,T2,PASS,HIGH,CANON-078 首次成书_出版时间=1677,需复核,WL-WORK-2832
金瓶梅.md,金瓶梅,兰陵笑笑生,T2,,CANON-033,约1610,T2,PASS,HIGH,CANON-033 首次成书_出版时间=约1610,手工核验,WL-WORK-1307
铁手骑士葛兹·冯·贝利欣根.md,铁手骑士葛兹·冯·贝利欣根,歌德,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2628
雨月物语.md,雨月物语,上田秋成,T2,,CANON-237,1776,T2,PASS,HIGH,CANON-237 首次成书_出版时间=1776,自动通过,WL-WORK-0869
项狄传.md,项狄传,劳伦斯·斯特恩,T2,,CANON-084,1759—1767,T2,PASS,HIGH,CANON-084 首次成书_出版时间=1759—1767,需复核,WL-WORK-2833
鲁滨逊漂流记.md,鲁滨逊漂流记,丹尼尔·笛福,T2,1719,CANON-080,1719,T2,PASS,HIGH,note.year=1719,手工核验,WL-WORK-0889
麦克白.md,麦克白,威廉·莎士比亚,T2,,CANON-070,约1606,T2,PASS,HIGH,CANON-070 首次成书_出版时间=约1606,需复核,WL-WORK-2826
