file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
1988：我想和这个世界谈谈.md,1988：我想和这个世界谈谈,韩寒,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2667
1Q84.md,1Q84,村上春树,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2668
2312.md,2312,金·斯坦利·罗宾逊,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2951
24个比利.md,24个比利,丹尼尔·凯斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2765
2666.md,2666,波拉尼奥,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1522
64.md,64,横山秀夫,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0174
82年生的金智英.md,82年生的金智英,赵南柱,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2669
A Boy's Own Story.md,A Boy's Own Story,埃德蒙·怀特,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0913
A Court of Thorns and Roses.md,A Court of Thorns and Roses,萨拉·J.马斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1933
A Gentleman of France.md,A Gentleman of France,斯坦利·韦曼,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2153
A Head Full of Ghosts.md,A Head Full of Ghosts,保罗·特朗布莱,2015,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-0489
A Hunger Like No Other.md,A Hunger Like No Other,克雷斯莉·科尔,2006,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1934
A Knight's Own Book of Chivalry.md,A Knight's Own Book of Chivalry,若弗鲁瓦·德·沙尔尼,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2155
A Long Way Gone.md,A Long Way Gone,伊斯梅尔·比亚,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1935
A Princess in Theory.md,A Princess in Theory,艾莉莎·科尔,2018,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1936
A Small Place.md,A Small Place,牙买加·金凯德,1988,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1343
All You Need Is Kill.md,All You Need Is Kill,樱坂洋,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0418
Almanac of the Dead.md,Almanac of the Dead,莱斯利·马蒙·西尔科,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2159
Always Only You.md,Always Only You,克洛伊·利泽,2020,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1939
Ambiguity Machines and Other Stories.md,Ambiguity Machines and Other Stories,万达娜·辛格,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0477
Amsterdam.md,Amsterdam,伊恩·麦克尤恩,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3059
Angel Down.md,Angel Down,丹尼尔·克劳斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3034
Anything for Billy.md,Anything for Billy,拉里·麦克默特里,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2161
As the Earth Turns Silver.md,As the Earth Turns Silver,Alison Wong,2009,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,手工核验,WL-WORK-R9-VERIFIED3-AS-THE-EARTH-TURNS-SILVER
Aspremont.md,Aspremont,佚名,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2162
Audition.md,Audition,村上龙,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0493
Ayesha at Last.md,Ayesha at Last,乌兹玛·贾拉勒丁,2018,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1942
A代表不在场证明.md,A代表不在场证明,苏·格拉夫顿,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0095
Beach Read.md,Beach Read,埃米莉·亨利,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1944
Before I Let Go.md,Before I Let Go,肯尼迪·瑞安,2022,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1945
Before She Sleeps.md,Before She Sleeps,比娜·沙阿,2018,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-0916
Before the Fall.md,Before the Fall,诺亚·霍利,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3143
Beirut Blues.md,Beirut Blues,哈南·谢赫,1992,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1946
Bet Me.md,Bet Me,珍妮弗·克鲁西,2004,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1947
Between the Woods and the Water.md,Between the Woods and the Water,帕特里克·利·弗莫尔,1986,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,自动通过,WL-WORK-1350
"Black Leopard, Red Wolf.md","Black Leopard, Red Wolf",马龙·詹姆斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2173
Black Stone.md,Black Stone,Grace Mera Molisa,1983,T6,T6 当代全球文学,T6,PASS,按 year 与正式 T 轴范围一致,手工核验,WL-WORK-R9-VERIFIED2-BLACK-STONE-POEMS
Blue Heaven.md,Blue Heaven,C.J.博克斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3135
Bones.md,Bones,简·伯克,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3126
Book Lovers.md,Book Lovers,埃米莉·亨利,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1949
Borderlands ／ La Frontera.md,Borderlands / La Frontera,格洛丽亚·安扎尔杜亚,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2175
Boyfriend Material.md,Boyfriend Material,亚历克西斯·霍尔,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1950
Brut.md,Brut,亚瑟王出现,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2176
California Girl.md,California Girl,T.杰斐逊·帕克,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3131
Certain Dark Things.md,Certain Dark Things,西尔维娅·莫雷诺-加西亚,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0495
"Changó, el gran putas.md","Changó, el gran putas",曼努埃尔·萨帕塔·奥利韦利亚,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1525
China Iron历险记.md,China Iron历险记,加夫列拉·卡贝松·卡马拉,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1526
