n,file,title,author,current_t
1,Bevis of Hampton.md,Bevis of Hampton,佚名,T1
2,Cligès.md,Cligès,克雷蒂安·德·特鲁瓦,T1
3,Curial e Güelfa.md,Curial e Güelfa,佚名,T1
4,Darangen.md,Darangen,佚名,T1
5,Erec et Enide.md,Erec et Enide,克雷蒂安·德·特鲁瓦,T1
6,Erec.md,Erec,哈特曼·冯·奥埃,T1
7,Estoire del Saint Graal.md,Estoire del Saint Graal,佚名,T1
8,Guy of Warwick.md,Guy of Warwick,佚名,T1
9,Iwein.md,Iwein,哈特曼·冯·奥埃,T1
10,Joseph d'Arimathie.md,Joseph d'Arimathie,罗贝尔·德·博龙,T1
11,Lancelot propre.md,Lancelot propre,佚名,T1
12,"Lancelot, the Knight of the Cart.md","Lancelot, the Knight of the Cart",克雷蒂安·德·特鲁瓦,T1
13,Lancelot.md,Lancelot,克雷蒂安·德·特鲁瓦,T1
14,Libro del caballero Zifar.md,Libro del caballero Zifar,佚名,T1
15,Merlin.md,Merlin,T.H.怀特,T1
16,Morgante.md,Morgante,路易吉·普尔奇,T1
17,Mort Artu.md,Mort Artu,佚名,T1
18,Palmerín de Inglaterra.md,Palmerín de Inglaterra,弗朗西斯科·德·莫拉埃斯,T1
19,Palmerín de Oliva.md,Palmerín de Oliva,佚名,T1
20,Parzival.md,Parzival,沃尔夫拉姆·冯·埃申巴赫,T1
21,"Perceval, the Story of the Grail.md","Perceval, the Story of the Grail",克雷蒂安·德·特鲁瓦,T1
22,Perceval.md,Perceval,克雷蒂安·德·特鲁瓦,T1
23,Perlesvaus ／ The High Book of the Grail.md,Perlesvaus / The High Book of the Grail,佚名,T1
24,Prose Tristan.md,Prose Tristan,佚名,T1
25,Queste del Saint Graal.md,Queste del Saint Graal,佚名,T1
26,Roman de Brut.md,Roman de Brut,瓦斯,T1
27,Safarnama ／ 旅行记.md,Safarnama / 旅行记,纳赛尔·霍斯陆,T1
28,Sir Launfal.md,Sir Launfal,托马斯·切斯特,T1
29,Sir Orfeo.md,Sir Orfeo,佚名,T1
30,Stanzaic Morte Arthur.md,Stanzaic Morte Arthur,佚名,T1
31,The Alliterative Morte Arthure.md,The Alliterative Morte Arthure,佚名,T1
32,The Book of Deeds of Arms and of Chivalry.md,The Book of Deeds of Arms and of Chivalry,克里斯蒂娜·德·皮桑,T1
33,The Book of the Order of Chivalry.md,The Book of the Order of Chivalry,拉蒙·柳利,T1
34,Tirant lo Blanc.md,Tirant lo Blanc,若阿诺特·马托雷尔,T1
35,Willehalm.md,Willehalm,沃尔夫拉姆·冯·埃申巴赫,T1
36,"Yvain, the Knight of the Lion.md","Yvain, the Knight of the Lion",克雷蒂安·德·特鲁瓦,T1
37,Yvain.md,Yvain,克雷蒂安·德·特鲁瓦,T1
38,一千零一夜.md,一千零一夜,佚名,T1
39,万叶集.md,万叶集,多人,T1
40,三国遗事.md,三国遗事,一然,T1
41,今昔物语集.md,今昔物语集,佚名,T1
42,伊万.md,伊万,克雷蒂安·德·特鲁瓦,T1
43,伊本·白图泰游记.md,伊本·白图泰游记,伊本·白图泰,T1
44,佩尔西瓦尔.md,佩尔西瓦尔,克雷蒂安·德·特鲁瓦,T1
45,兰斯洛特.md,兰斯洛特,克雷蒂安·德·特鲁瓦,T1
46,兰斯洛特：大车骑士.md,兰斯洛特：大车骑士,克雷蒂安·德·特鲁瓦,T1
47,列王纪.md,列王纪,菲尔多西,T1
48,前赤壁赋.md,前赤壁赋,苏轼,T1
49,十日谈.md,十日谈,乔万尼·薄伽丘,T1
50,卡卡温罗摩衍那.md,卡卡温罗摩衍那,佚名,T1
51,卡里来和笛木乃.md,卡里来和笛木乃,伊本·穆格法,T1
52,古今和歌集.md,古今和歌集,多人（纪贯之等编）,T1
53,古兰经.md,古兰经,传统文本,T1
54,后赤壁赋.md,后赤壁赋,苏轼,T1
55,和泉式部日记.md,和泉式部日记,紫式部,T1
56,哈菲兹诗集.md,哈菲兹诗集,哈菲兹,T1
57,哈里里玛卡梅集.md,哈里里玛卡梅集,哈里里,T1
58,国王叙事诗.md,国王叙事诗,丁尼生,T1
59,坎特伯雷故事集.md,坎特伯雷故事集,杰弗里·乔叟,T1
60,坎特伯雷故事集·骑士的故事.md,坎特伯雷故事集·骑士的故事,乔叟,T1
61,太平广记.md,太平广记,李昉等编,T1
62,夺牛长征记.md,夺牛长征记,佚名,T1
63,女巫的预言.md,女巫的预言,佚名,T1
64,尤努斯·埃姆雷诗集.md,尤努斯·埃姆雷诗集,尤努斯·埃姆雷,T1
65,尼伯龙根之歌.md,尼伯龙根之歌,佚名,T1
66,尼雅尔萨迦.md,尼雅尔萨迦,佚名,T1
67,岭南摭怪.md,岭南摭怪,佚名,T1
68,布兰航海记.md,布兰航海记,佚名,T1
