file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
云使.md,云使,迦梨陀娑,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-3176
俄瑞斯忒亚.md,俄瑞斯忒亚,埃斯库罗斯,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2809
吕西斯特拉忒.md,吕西斯特拉忒,阿里斯托芬,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-LYSISTRATA
庄子.md,庄子,庄周及后学,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-ZHUANGZI
楚辞.md,楚辞,屈原等,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2814
脚镯记.md,脚镯记,伊兰戈·阿迪伽尔（传统归属）,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3175
萨蒂利孔.md,萨蒂利孔,佩特罗尼乌斯,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-SATYRICON
论语.md,论语,孔子弟子及再传弟子编纂,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-ANALECTS
贺拉斯颂歌.md,贺拉斯颂歌,贺拉斯,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-HORACE-ODES
辛努赫传.md,辛努赫传,佚名,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-SINUHE
阿伽门农.md,阿伽门农,埃斯库罗斯,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-T0-AGAMEMNON
陶渊明诗选.md,陶渊明诗选,陶渊明,,T0,T0 文学源头与古代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3185
