file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
ABC谋杀案.md,ABC谋杀案,阿加莎·克里斯蒂,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0025
Across the Black Waters.md,Across the Black Waters,穆尔克·拉吉·安纳德,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1938
Bardelys the Magnificent.md,Bardelys the Magnificent,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2167
Bellarion the Fortunate.md,Bellarion the Fortunate,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2168
Black Lamb and Grey Falcon.md,Black Lamb and Grey Falcon,丽贝卡·韦斯特,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1351
Desert Gold.md,Desert Gold,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2198
D坂杀人事件.md,D坂杀人事件,江户川乱步,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0147
Fortune's Fool.md,Fortune's Fool,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2229
Frenchman's Creek.md,Frenchman's Creek,达芙妮·杜穆里埃,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2230
Hombre de la esquina rosada.md,Hombre de la esquina rosada,博尔赫斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2238
J. Alfred Prufrock的情歌.md,J. Alfred Prufrock的情歌,T.S.艾略特,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1533
La poesía gauchesca.md,La poesía gauchesca,博尔赫斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2262
Men of Iron.md,Men of Iron,霍华德·派尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2281
More Ghost Stories.md,More Ghost Stories,M.R.詹姆斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0512
Peter Pan.md,Peter Pan,J.M.巴里,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2307
R.U.R.md,R.U.R.,卡雷尔·恰佩克,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0281
Saint Martin's Summer.md,Saint Martin's Summer,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2335
The Adventures of Gerard.md,The Adventures of Gerard,柯南·道尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2356
The Black Swan.md,The Black Swan,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2362
The Book of Pirates.md,The Book of Pirates,霍华德·派尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2365
The Light of Western Stars.md,The Light of Western Stars,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2391
The Lion of Damascus.md,The Lion of Damascus,埃米利奥·萨尔加里,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2392
The Lone Star Ranger.md,The Lone Star Ranger,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2393
The Maracot Deep.md,The Maracot Deep,柯南·道尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0541
The Rainbow Trail.md,The Rainbow Trail,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2401
The Return of the Soldier.md,The Return of the Soldier,丽贝卡·韦斯特,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1991
The Rover.md,The Rover,约瑟夫·康拉德,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2402
The Store.md,The Store,T.S.斯特里布林,T4,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-2970
The Story of King Arthur and His Knights.md,The Story of King Arthur and His Knights,霍华德·派尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2409
The Story of the Glittering Plain.md,The Story of the Glittering Plain,威廉·莫里斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2410
The Tavern Knight.md,The Tavern Knight,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2413
The Well at the World's End.md,The Well at the World's End,威廉·莫里斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2418
The White Company.md,The White Company,柯南·道尔,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0547
The Wood Beyond the World.md,The Wood Beyond the World,威廉·莫里斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2420
The Wrecker.md,The Wrecker,罗伯特·路易斯·史蒂文森,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0548
Western Union.md,Western Union,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2429
X的悲剧.md,X的悲剧,埃勒里·奎因,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0041
