file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
云使.md,云使,迦梨陀娑,T0,,CANON-227,约4—5世纪,T0,PASS,HIGH,CANON-227 首次成书_出版时间=约4—5世纪,手工核验,WL-WORK-3176,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
以诺一书.md,以诺一书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1399,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊利亚特.md,伊利亚特,荷马,T0,,CANON-002,约前8世纪,T0,PASS,HIGH,CANON-002 首次成书_出版时间=约前8世纪,自动通过,WL-WORK-0581,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊南娜下降冥界.md,伊南娜下降冥界,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1401,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊南娜与杜穆兹.md,伊南娜与杜穆兹,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1402,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
会饮篇.md,会饮篇,柏拉图,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2017,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
但以理书.md,但以理书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1404,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
俄狄浦斯王.md,俄狄浦斯王,索福克勒斯,T0,,CANON-005,约前429,T0,PASS,HIGH,CANON-005 首次成书_出版时间=约前429,自动通过,WL-WORK-1408,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
俄瑞斯忒亚.md,俄瑞斯忒亚,埃斯库罗斯,T0,,CANON-004,前458,T0,PASS,HIGH,CANON-004 首次成书_出版时间=前458,需复核,WL-WORK-2809,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
凯雷特史诗.md,凯雷特史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1413,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
出埃及记.md,出埃及记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1414,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
