n,file,title,author,current_t
1,A Lady's Life in the Rocky Mountains.md,A Lady's Life in the Rocky Mountains,伊莎贝拉·伯德,T3
2,A Tour on the Prairies.md,A Tour on the Prairies,华盛顿·欧文,T3
3,A Woman's Journey Round the World.md,A Woman's Journey Round the World,伊达·普费弗尔,T3
4,Allan Quatermain.md,Allan Quatermain,哈格德,T3
5,Aniceto el Gallo.md,Aniceto el Gallo,阿斯卡苏比,T3
6,Astoria.md,Astoria,华盛顿·欧文,T3
7,"Astucia, el jefe de los Hermanos de la Hoja.md","Astucia, el jefe de los Hermanos de la Hoja",路易斯·G.因克兰,T3
8,Battle-Pieces.md,Battle-Pieces,赫尔曼·麦尔维尔,T3
9,Benito Cereno.md,Benito Cereno,赫尔曼·麦尔维尔,T3
10,Drum-Taps.md,Drum-Taps,沃尔特·惠特曼,T3
11,El gaucho Martín Fierro.md,El gaucho Martín Fierro,何塞·埃尔南德斯,T3
12,El Zarco.md,El Zarco,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,T3
13,Facundo／ Civilization and Barbarism.md,Facundo: Civilization and Barbarism,萨米恩托,T3
14,Hormiga Negra.md,Hormiga Negra,爱德华多·古铁雷斯,T3
15,Indulekha.md,Indulekha,O·钱杜·梅农,T3
16,İntibah.md,İntibah,纳默克·凯末尔,T3
17,Jerilderie Letter.md,Jerilderie Letter,内德·凯利,T3
18,Johnnie Armstrong.md,Johnnie Armstrong,沃尔特·司各特,T3
19,Juan Cuello.md,Juan Cuello,爱德华多·古铁雷斯,T3
20,Kinmont Willie.md,Kinmont Willie,沃尔特·司各特,T3
21,La vuelta de Martín Fierro.md,La vuelta de Martín Fierro,何塞·埃尔南德斯,T3
22,Masterman Ready.md,Masterman Ready,弗雷德里克·马里亚特,T3
23,Micah Clarke.md,Micah Clarke,柯南·道尔,T3
24,Missionary Travels and Researches in South Africa.md,Missionary Travels and Researches in South Africa,戴维·利文斯通,T3
25,O Cabeleira.md,O Cabeleira,富兰克林·塔沃拉,T3
26,O Gaúcho.md,O Gaúcho,若泽·德·阿伦卡尔,T3
27,Pictures from Italy.md,Pictures from Italy,查尔斯·狄更斯,T3
28,The Boy Hunters.md,The Boy Hunters,梅恩·里德,T3
29,The Defence of Guenevere.md,The Defence of Guenevere,威廉·莫里斯,T3
30,The Headless Horseman.md,The Headless Horseman,梅恩·里德,T3
31,The Merry Adventures of Robin Hood.md,The Merry Adventures of Robin Hood,霍华德·派尔,T3
32,The Oregon Trail.md,The Oregon Trail,弗朗西斯·帕克曼,T3
33,The Pirate.md,The Pirate,沃尔特·司各特,T3
34,The Squatter and the Don.md,The Squatter and the Don,海伦·亨特·杰克逊,T3
35,The Talisman.md,The Talisman,沃尔特·司各特,T3
36,Travels with a Donkey in the Cévennes.md,Travels with a Donkey in the Cévennes,罗伯特·路易斯·史蒂文森,T3
37,一个世纪儿的忏悔.md,一个世纪儿的忏悔,缪塞,T3
38,一位女士的画像.md,一位女士的画像,亨利·詹姆斯,T3
39,一腿跨过一腿.md,一腿跨过一腿,艾哈迈德·法里斯·希迪亚克,T3
40,七侠五义.md,七侠五义,石玉昆,T3
41,三个火枪手.md,三个火枪手,大仲马,T3
42,三侠五义.md,三侠五义,石玉昆,T3
43,上尉的女儿.md,上尉的女儿,普希金,T3
44,丑小鸭.md,丑小鸭,安徒生,T3
45,世俗的圣歌及其他诗篇.md,世俗的圣歌及其他诗篇,鲁文·达里奥,T3
46,丹尼尔·德隆达.md,丹尼尔·德隆达,乔治·艾略特,T3
47,丽姬娅.md,丽姬娅,爱伦·坡,T3
48,九三年.md,九三年,维克多·雨果,T3
49,二十年后.md,二十年后,大仲马,T3
50,亚瑟·戈登·皮姆历险记.md,亚瑟·戈登·皮姆历险记,爱伦·坡,T3
51,从地球到月球.md,从地球到月球,儒勒·凡尔纳,T3
52,伊凡·伊里奇之死.md,伊凡·伊里奇之死,列夫·托尔斯泰,T3
