file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
1492：对他者的遮蔽.md,1492：对他者的遮蔽,恩里克·杜塞尔,T5,,,,,REVIEW,,缺少可靠年代证据,metadata_pending,WL-WORK-3238
1984.md,1984,乔治·奥威尔,T5,,CANON-142,1949,T5,PASS,HIGH,CANON-142 首次成书_出版时间=1949,自动通过,WL-WORK-0488
2001：太空漫游.md,2001：太空漫游,阿瑟·克拉克,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0309
A Man Called Horse.md,A Man Called Horse,多萝西·M.约翰逊,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2156
A Rumor of War.md,A Rumor of War,菲利普·卡普托,T5,1977,,,T5,PASS,HIGH,note.year=1977,自动通过,WL-WORK-1937
A Time of Gifts.md,A Time of Gifts,帕特里克·利·弗莫尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1344
America Is in the Heart.md,America Is in the Heart,卡洛斯·布洛桑,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0914
An Area of Darkness.md,An Area of Darkness,V.S.奈保尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1348
Arabella.md,Arabella,乔吉特·海耶,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1940
Arabian Sands.md,Arabian Sands,威尔弗雷德·塞西格,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1349
Auschwitz and After.md,Auschwitz and After,夏洛特·德尔博,T5,1971,,,T5,PASS,HIGH,note.year=1971,自动通过,WL-WORK-1941
Bandits.md,Bandits,艾瑞克·霍布斯鲍姆,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2165
"Bless Me, Ultima.md","Bless Me, Ultima",鲁道夫·阿纳亚,T5,1972,,,T5,PASS,HIGH,note.year=1972,自动通过,WL-WORK-2174
Buffalo Wagons.md,Buffalo Wagons,埃尔默·凯尔顿,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2177
Burnt Offerings.md,Burnt Offerings,罗伯特·马拉斯科,T5,1973,,,T5,PASS,HIGH,note.year=1973,自动通过,WL-WORK-0494
Butcher's Crossing.md,Butcher's Crossing,约翰·威廉斯,T5,1960,,,T5,PASS,HIGH,note.year=1960,自动通过,WL-WORK-2179
Ceremony.md,Ceremony,莱斯利·马蒙·西尔科,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0918
Chemmeen.md,Chemmeen,Thakazhi Sivasankara Pillai,T5,1956,,,T5,PASS,HIGH,note.year=1956,手工核验,WL-WORK-R3-18224226
Cotillion.md,Cotillion,乔吉特·海耶,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1951
"Crick Crack, Monkey.md","Crick Crack, Monkey",默尔·霍奇,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1528
Dance Hall of the Dead.md,Dance Hall of the Dead,托尼·希勒曼,T5,1973,,,T5,PASS,HIGH,note.year=1973,自动通过,WL-WORK-2195
Desert Solitaire.md,Desert Solitaire,爱德华·艾比,T5,1968,,,T5,PASS,HIGH,note.year=1968,自动通过,WL-WORK-2199
Dispatches.md,Dispatches,迈克尔·赫尔,T5,1977,,,T5,PASS,HIGH,note.year=1977,自动通过,WL-WORK-1956
El escritor argentino y la tradición.md,El escritor argentino y la tradición,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2203
El muerto.md,El muerto,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2210
Facial Justice.md,Facial Justice,L.P.哈特利,T5,1960,,,T5,PASS,HIGH,note.year=1960,自动通过,WL-WORK-0924
Flint.md,Flint,路易斯·拉穆尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2228
Forfeit.md,Forfeit,迪克·弗朗西斯,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3097
From a Crooked Rib.md,From a Crooked Rib,努鲁丁·法拉赫,T5,1970,,,T5,PASS,HIGH,note.year=1970,自动通过,WL-WORK-0927
G.H.受难记.md,G.H.受难记,克拉丽丝·利斯佩克托,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1529
G.（伯杰）.md,G.,约翰·伯杰,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3038
Girls at War.md,Girls at War,钦努阿·阿契贝,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1962
Grande Sertão／ Veredas.md,Grande Sertão: Veredas,吉马朗埃斯·罗萨,T5,,CANON-203,1956,T5,PASS,HIGH,CANON-203 首次成书_出版时间=1956,自动通过,WL-WORK-2235
Holiday.md,Holiday,斯坦利·米德尔顿,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3041
Hondo.md,Hondo,路易斯·拉穆尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2239
Hopscotch.md,Hopscotch,布赖恩·加菲尔德,T5,,CANON-182,1963,T5,PASS,HIGH,CANON-182 首次成书_出版时间=1963,需复核,WL-WORK-3102
"Horseman, Pass By.md","Horseman, Pass By",拉里·麦克默特里,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2242
House Made of Dawn.md,House Made of Dawn,N.斯科特·莫马迪,T5,1968,,,T5,PASS,HIGH,note.year=1968,自动通过,WL-WORK-2243
In Patagonia.md,In Patagonia,布鲁斯·查特文,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1356
In the Castle of My Skin.md,In the Castle of My Skin,乔治·拉明,T5,,CANON-278,1953,T5,PASS,HIGH,CANON-278 首次成书_出版时间=1953,自动通过,WL-WORK-0930
India／ A Wounded Civilization.md,India: A Wounded Civilization,V.S.奈保尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1357
La noche de los dones.md,La noche de los dones,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2261
Leaving Cheyenne.md,Leaving Cheyenne,拉里·麦克默特里,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2270
Mekar dan Segar.md,Mekar dan Segar,Suratman Markasan,T5,1959,,,T5,PASS,HIGH,note.year=1959,手工核验,WL-WORK-R8-VERIFIED2-MEKAR-DAN-SEGAR
Miss Ulysses from Puka-Puka.md,Miss Ulysses from Puka-Puka,Florence (Johnny) Frisbie,T5,1948,,,T5,PASS,HIGH,note.year=1948,手工核验,WL-WORK-R9-VERIFIED3-MISS-ULYSSES-FROM-PUKA-PUKA-THE-AUT
Monte Walsh.md,Monte Walsh,杰克·谢弗,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2286
"Murambi, The Book of Bones.md","Murambi, The Book of Bones",相关研究也将,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1974
Myths and Legends of Maoriland.md,Myths and Legends of Maoriland,A. W. Reed,T5,1946,,,T5,PASS,HIGH,note.year=1946,手工核验,WL-WORK-R9-VERIFIED1-MYTHS-AND-LEGENDS-OF-MAORILAND
Myths and Legends of Torres Strait.md,Myths and Legends of Torres Strait,Margaret Lawrie,T5,1970,,,T5,PASS,HIGH,note.year=1970,手工核验,WL-WORK-R9-VERIFIED1-MYTHS-AND-LEGENDS-OF-TORRES-STRAIT
Nine Coaches Waiting.md,Nine Coaches Waiting,玛丽·斯图尔特,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1975
Not Out of Hate.md,Not Out of Hate,Ma Ma Lay,T5,1955,,,T5,PASS,HIGH,note.year=1955,手工核验,WL-WORK-R8-VERIFIED2-MONE-YWA-MAHU
Offshore.md,Offshore,佩内洛普·菲茨杰拉德,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3046
Ozidi Saga.md,Ozidi Saga,佚名,T5,1977,,,T5,PASS,HIGH,note.year=1977,自动通过,WL-WORK-1363
Pinjar.md,Pinjar,阿姆丽塔·普里塔姆,T5,1950,,,T5,PASS,HIGH,note.year=1950,手工核验,WL-WORK-R3-98953879
Pouliuli.md,Pouliuli,Albert Wendt,T5,1977,,,T5,PASS,HIGH,note.year=1977,手工核验,WL-WORK-R9-VERIFIED2-POULIULI
Primitive Rebels.md,Primitive Rebels,艾瑞克·霍布斯鲍姆,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2309
Prison and Man.md,Prison and Man,Ludu U Hla,T5,1957,,,T5,PASS,HIGH,note.year=1957,手工核验,WL-WORK-R8-VERIFIED2-HTAUNG-HNINT-LUTHA
Promised Land.md,Promised Land,罗伯特·B·帕克,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3103
Room to Swing.md,Room to Swing,埃德·莱西,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3086
Sabu.md,Sabu,山本周五郎,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2334
Samskara.md,Samskara,U. R. Ananthamurthy,T5,1965,,,T5,PASS,HIGH,note.year=1965,手工核验,WL-WORK-R3-02306291
Tadeo Isidoro Cruz小传.md,Tadeo Isidoro Cruz小传,博尔赫斯,T5,1949,,,T5,PASS,HIGH,note.year=1949,人工核验,WL-WORK-2351
